Indicadores,O que mede (camada cognitiva),com ler (camada cognitiva),Tipo de indicador,Objetivos de comunicação,Maturidade,Indicadores de ROI,Enriquecimentos necessários,Forma de enriquecimento,Casos de Uso,Datapack,Visualização,Tipo de escala de mensuração,Característica da escala de mensuração,estatística - Tendência Central,estatística - Dispersão,estatística - Associação ou Correlação,estatística - Significância,Cálculo
NPS Ponderado,"O NPS Ponderado é utilizado quando a área de comunicação tem uma estratégia muito clara em determinados pilares na mídia e, dessa forma, o que sair na imprensa que não esteja relacionado a isso, deve ter um peso menor.",,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Protagonismo, Sentimento",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis","Média ponderada, multiplicando o NPS de cada categoria por seu peso e dividindo pelo somatório de seus pesos"
Contribuição do NPS por temas,,,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Básica,Eficiência,"Protagonismo, Sentimento, Pilar/Temas",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Contribuição do NPS por marca,,,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Básica,Eficiência,"Protagonismo, Sentimento, Pilar/Temas",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
PR,"O %PR é utilizado principalmente para aqueles clientes que são falados constantemente de forma detratora na mídia, e o cliente precisa garantir que está produzindo pautas que promovam a marca ou posicionamentos para balancear os assuntos detratores. ",,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Protagonismo, Sentimento",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis","Imp. Promotores / 
(Imp. Prom + Imp. Detrat)"
PR Ponderado,"O NPS Ponderado é utilizado quando a área de comunicação tem uma estratégia muito clara em determinados pilares na mídia e, dessa forma, o que sair na imprensa que não esteja relacionado a isso, deve ter um peso menor.",,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Protagonismo, Sentimento",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis","Média ponderada, multiplicando o %PR de cada categoria por seu peso e dividindo pelo somatório de seus pesos"
Contribuição do PR por temas,,,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Básica,Eficiência,"Protagonismo, Sentimento, Pilar/Temas",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Contribuição do PR por marca,,,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Básica,Eficiência,"Protagonismo, Sentimento, Pilar/Temas",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Valoração (R$),,,financeiro,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,Inferência de Audiência,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Valoração (R$) por temas ,,,financeiro,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Inferência de Audiência, Pilar/Temas",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Valoração (R$) por marca,,,financeiro,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Inferência de Audiência, Marca/Produto",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Contr. por temas para o total de Valoração (R$) ,,,financeiro,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Inferência de Audiência, Pilar/Temas",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Contr. por marcas para o total de Valoração (R$) ,,,financeiro,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Inferência de Audiência, Marca/Produto",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Total de Seguidores,"é o número de total de seguidores de um perfil, sendo utilizado para casos de uso no qual temos de acompanhar perfis de redes sociais",,exposição,"Suscitar interesse, Garantir Identificação e empatia, Conseguir a Preferência, Levar à Decisão de Compra",Básica,Eficácia,Sem enriquecimento,Automático,"Canais Proprietários, Comunicação para Colaboradores (Likedin)",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Seguidores conquistados,o quanto de seguidores novos uma página ganhou no período,,exposição,"Suscitar interesse, Garantir Identificação e empatia, Conseguir a Preferência, Levar à Decisão de Compra",Básica,Eficácia,Sem enriquecimento,Automático,"Canais Proprietários, Comunicação para Colaboradores (Likedin)",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Seguidores perdidos,o quanto de seguidores perdidos por uma página no período,,exposição,"Suscitar interesse, Garantir Identificação e empatia, Conseguir a Preferência, Levar à Decisão de Compra",Básica,Eficácia,Sem enriquecimento,Automático,"Canais Proprietários, Comunicação para Colaboradores (Likedin)",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Aquisição de seguidores,é a razão entre os seguidores conquistados e seguidores perdidos,"se é positivo, teve uma aquisição de seguidores; caso negativo, teve perda de seguidores",exposição,"Suscitar interesse, Garantir Identificação e empatia, Conseguir a Preferência, Levar à Decisão de Compra",Básica,Eficiência,Sem enriquecimento,Automático,"Canais Proprietários, Comunicação para Colaboradores (Likedin)",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Visualização total do perfil,o quanto o perfl foi visualizados no períodos,,exposição,"Suscitar interesse, Garantir Identificação e empatia, Conseguir a Preferência, Levar à Decisão de Compra",Básica,Eficácia,Sem enriquecimento,Automático,"Canais Proprietários, Comunicação para Colaboradores (Likedin)",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Visitantes únicos,número de visitantes únicos que acessarm o perfil no período analisado,,exposição,"Suscitar interesse, Garantir Identificação e empatia, Conseguir a Preferência, Levar à Decisão de Compra",Básica,Eficácia,Sem enriquecimento,Automático,"Canais Proprietários, Comunicação para Colaboradores (Likedin)",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Frequência média de visualizações por visitante,o número de vezes que os seguidores acessaram o perfl no peródo analisado,"Quanto maior o número, mais vezes o público acessa o perfil. Se tiver em 1 ou menos, indica baixo interesse",exposição,"Suscitar interesse, Garantir Identificação e empatia, Conseguir a Preferência, Levar à Decisão de Compra",Básica,Eficácia,Sem enriquecimento,Automático,"Canais Proprietários, Comunicação para Colaboradores (Likedin)",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
